"","DateTime","IU.BBSR.00.BHZ.M"
"394",2010-01-12 22:05:30,149949.2625
"395",2010-01-12 22:05:40,1408239.7125
"396",2010-01-12 22:05:50,-2119280.4725
"397",2010-01-12 22:06:00,1092257.1775
"398",2010-01-12 22:06:10,28458.8525
"399",2010-01-12 22:06:20,-535601.955
"400",2010-01-12 22:06:30,1490660.4125
"401",2010-01-12 22:06:40,-1181047.56
"402",2010-01-12 22:06:50,131022
"403",2010-01-12 22:07:00,506593.0125
"404",2010-01-12 22:07:10,-201843.835
"405",2010-01-12 22:07:20,-150900.0575
"406",2010-01-12 22:07:30,624795.5
"407",2010-01-12 22:07:40,-966286.985
"408",2010-01-12 22:07:50,548339.14
"409",2010-01-12 22:08:00,291965.4125
"410",2010-01-12 22:08:10,-504341.2925
"411",2010-01-12 22:08:20,706411.4
"412",2010-01-12 22:08:30,166312.1
"413",2010-01-12 22:08:40,-816027.27
"414",2010-01-12 22:08:50,707815.855
"415",2010-01-12 22:09:00,-107761.775
"416",2010-01-12 22:09:10,-476611.7925
"417",2010-01-12 22:09:20,562095.5875
"418",2010-01-12 22:09:30,44639.875
"419",2010-01-12 22:09:40,-651346.12
"420",2010-01-12 22:09:50,708880.6725
"421",2010-01-12 22:10:00,381364.1125
"422",2010-01-12 22:10:10,-565063.59
"423",2010-01-12 22:10:20,808864.02
"424",2010-01-12 22:10:30,-528847.1675
"425",2010-01-12 22:10:40,11737.315
"426",2010-01-12 22:10:50,64584.965
"427",2010-01-12 22:11:00,267922.98
"428",2010-01-12 22:11:10,-512541.0225
"429",2010-01-12 22:11:20,410599.45
"430",2010-01-12 22:11:30,263447.435
"431",2010-01-12 22:11:40,-872897.4925
"432",2010-01-12 22:11:50,652446.7225
"433",2010-01-12 22:12:00,287923.275
"434",2010-01-12 22:12:10,-587396.1775
"435",2010-01-12 22:12:20,240012.575
"436",2010-01-12 22:12:30,346373.1875
"437",2010-01-12 22:12:40,-544383.895
"438",2010-01-12 22:12:50,48879.915
"439",2010-01-12 22:13:00,635299.45
"440",2010-01-12 22:13:10,-726456.8425
"441",2010-01-12 22:13:20,308884.3075
"442",2010-01-12 22:13:30,168499.8825
"443",2010-01-12 22:13:40,-39169.8975
"444",2010-01-12 22:13:50,26234.6725
"445",2010-01-12 22:14:00,-131499.0675
"446",2010-01-12 22:14:10,670487.6225
"447",2010-01-12 22:14:20,-458065.6575
"448",2010-01-12 22:14:30,-112474.405
"449",2010-01-12 22:14:40,702302.795
"450",2010-01-12 22:14:50,-585354.455
"451",2010-01-12 22:15:00,62362.8625
"452",2010-01-12 22:15:10,406689.415
"453",2010-01-12 22:15:20,-420632.6125
"454",2010-01-12 22:15:30,-49030.6975
"455",2010-01-12 22:15:40,390603.42
"456",2010-01-12 22:15:50,84367.805
"457",2010-01-12 22:16:00,-244504.48
"458",2010-01-12 22:16:10,322082.545
"459",2010-01-12 22:16:20,-423586.6625
"460",2010-01-12 22:16:30,333198.1475
"461",2010-01-12 22:16:40,-148968.6
"462",2010-01-12 22:16:50,261640.7475
"463",2010-01-12 22:17:00,-25703.755
"464",2010-01-12 22:17:10,-45898.175
"465",2010-01-12 22:17:20,-67846.3125
"466",2010-01-12 22:17:30,412999.43
"467",2010-01-12 22:17:40,-402293.0825
"468",2010-01-12 22:17:50,201223.605
"469",2010-01-12 22:18:00,-171514.505
"470",2010-01-12 22:18:10,263180.3375
"471",2010-01-12 22:18:20,-176703.0475
"472",2010-01-12 22:18:30,346623.8025
"473",2010-01-12 22:18:40,-166427.0075
"474",2010-01-12 22:18:50,-138140.9225
"475",2010-01-12 22:19:00,398575.9575
"476",2010-01-12 22:19:10,-145842.0975
"477",2010-01-12 22:19:20,-292692.0875
"478",2010-01-12 22:19:30,829424.4
"479",2010-01-12 22:19:40,-189966.0375
"480",2010-01-12 22:19:50,-525002.31
"481",2010-01-12 22:20:00,96002.6875
"482",2010-01-12 22:20:10,358760.5475
"483",2010-01-12 22:20:20,-283048.1875
"484",2010-01-12 22:20:30,37406.5025
"485",2010-01-12 22:20:40,300267.3925
