"","DateTime","CU.GTBY..BHZ.M"
"443",2010-01-12 21:07:22,-1538.2
"444",2010-01-12 21:07:23,322.375
"445",2010-01-12 21:07:24,-420.525
"446",2010-01-12 21:07:25,102.825
"447",2010-01-12 21:07:26,-2127.525
"448",2010-01-12 21:07:27,-517.825
"449",2010-01-12 21:07:28,1169.025
"450",2010-01-12 21:07:29,66.725
"451",2010-01-12 21:07:30,-2221.05
"452",2010-01-12 21:07:31,-779.05
"453",2010-01-12 21:07:32,134.875
"454",2010-01-12 21:07:33,-1000.25
"455",2010-01-12 21:07:34,-370.05
"456",2010-01-12 21:07:35,1255.25
"457",2010-01-12 21:07:36,-1688.25
"458",2010-01-12 21:07:37,-2497.65
"459",2010-01-12 21:07:38,2051.375
"460",2010-01-12 21:07:39,-329.95
"461",2010-01-12 21:07:40,-956.85
"462",2010-01-12 21:07:41,-2572.275
"463",2010-01-12 21:07:42,861.4
"464",2010-01-12 21:07:43,1745.8
"465",2010-01-12 21:07:44,-2513.525
"466",2010-01-12 21:07:45,-1758.4
"467",2010-01-12 21:07:46,1150.075
"468",2010-01-12 21:07:47,-1237.575
"469",2010-01-12 21:07:48,-470.05
"470",2010-01-12 21:07:49,-218.85
"471",2010-01-12 21:07:50,-4.1
"472",2010-01-12 21:07:51,-950.65
"473",2010-01-12 21:07:52,-587.85
"474",2010-01-12 21:07:53,-1036.825
"475",2010-01-12 21:07:54,209.125
"476",2010-01-12 21:07:55,1.2
"477",2010-01-12 21:07:56,-1246.625
"478",2010-01-12 21:07:57,905.625
"479",2010-01-12 21:07:58,-2365.975
"480",2010-01-12 21:07:59,-1344.5
"481",2010-01-12 21:08:00,648.75
"482",2010-01-12 21:08:01,1717.35
"483",2010-01-12 21:08:02,-2232
"484",2010-01-12 21:08:03,-2496.475
"485",2010-01-12 21:08:04,73.025
"486",2010-01-12 21:08:05,1978.35
"487",2010-01-12 21:08:06,64.7
"488",2010-01-12 21:08:07,-3363.65
"489",2010-01-12 21:08:08,-830.5
"490",2010-01-12 21:08:09,1560.625
"491",2010-01-12 21:08:10,-1057.15
"492",2010-01-12 21:08:11,-1521.1
"493",2010-01-12 21:08:12,-250.85
"494",2010-01-12 21:08:13,1121.85
"495",2010-01-12 21:08:14,-786.375
"496",2010-01-12 21:08:15,-2038.6
"497",2010-01-12 21:08:16,-590.85
"498",2010-01-12 21:08:17,914.975
"499",2010-01-12 21:08:18,-948.825
"500",2010-01-12 21:08:19,-1686.225
"501",2010-01-12 21:08:20,58.375
"502",2010-01-12 21:08:21,1384.175
"503",2010-01-12 21:08:22,-2250.85
"504",2010-01-12 21:08:23,-214.575
"505",2010-01-12 21:08:24,275.85
"506",2010-01-12 21:08:25,-1732.1
"507",2010-01-12 21:08:26,-1360.375
"508",2010-01-12 21:08:27,1021.025
"509",2010-01-12 21:08:28,746.975
"510",2010-01-12 21:08:29,-2085.625
"511",2010-01-12 21:08:30,-268.1
"512",2010-01-12 21:08:31,-653.55
"513",2010-01-12 21:08:32,-1074.5
"514",2010-01-12 21:08:33,-1426.3
"515",2010-01-12 21:08:34,750.975
"516",2010-01-12 21:08:35,200.7
"517",2010-01-12 21:08:36,-824.325
"518",2010-01-12 21:08:37,-709.825
"519",2010-01-12 21:08:38,268.15
"520",2010-01-12 21:08:39,-1079.7
"521",2010-01-12 21:08:40,-2082.175
"522",2010-01-12 21:08:41,614.975
"523",2010-01-12 21:08:42,452.025
"524",2010-01-12 21:08:43,-428.6
"525",2010-01-12 21:08:44,-1969.025
"526",2010-01-12 21:08:45,385.5
"527",2010-01-12 21:08:46,-432.25
"528",2010-01-12 21:08:47,-788.675
"529",2010-01-12 21:08:48,-1682.9
"530",2010-01-12 21:08:49,-460.075
"531",2010-01-12 21:08:50,1721.05
"532",2010-01-12 21:08:51,-1197.775
"533",2010-01-12 21:08:52,-1042.425
"534",2010-01-12 21:08:53,-153.975
"535",2010-01-12 21:08:54,-731.125
"536",2010-01-12 21:08:55,-1420.6
