"","DateTime","CU.GRTK..BHZ.M"
"432",2010-01-12 21:07:11,1502.65
"433",2010-01-12 21:07:12,-1087.275
"434",2010-01-12 21:07:13,893.725
"435",2010-01-12 21:07:14,679.525
"436",2010-01-12 21:07:15,531.875
"437",2010-01-12 21:07:16,2067.6
"438",2010-01-12 21:07:17,-1320.875
"439",2010-01-12 21:07:18,177.4
"440",2010-01-12 21:07:19,1850.875
"441",2010-01-12 21:07:20,-548.05
"442",2010-01-12 21:07:21,-712.875
"443",2010-01-12 21:07:22,1938.025
"444",2010-01-12 21:07:23,1377.875
"445",2010-01-12 21:07:24,-2924.95
"446",2010-01-12 21:07:25,2400.05
"447",2010-01-12 21:07:26,2130.65
"448",2010-01-12 21:07:27,-2669.65
"449",2010-01-12 21:07:28,3675.85
"450",2010-01-12 21:07:29,-2510.05
"451",2010-01-12 21:07:30,-1274.15
"452",2010-01-12 21:07:31,4559.325
"453",2010-01-12 21:07:32,-178.675
"454",2010-01-12 21:07:33,-596.05
"455",2010-01-12 21:07:34,-3367.125
"456",2010-01-12 21:07:35,868.775
"457",2010-01-12 21:07:36,4348
"458",2010-01-12 21:07:37,-436.2
"459",2010-01-12 21:07:38,-698.2
"460",2010-01-12 21:07:39,-1528.475
"461",2010-01-12 21:07:40,1668.95
"462",2010-01-12 21:07:41,2005.425
"463",2010-01-12 21:07:42,2862.6
"464",2010-01-12 21:07:43,-5943.4
"465",2010-01-12 21:07:44,-3061.5
"466",2010-01-12 21:07:45,4810.4
"467",2010-01-12 21:07:46,3406
"468",2010-01-12 21:07:47,-1406.95
"469",2010-01-12 21:07:48,-1666.125
"470",2010-01-12 21:07:49,-1415.775
"471",2010-01-12 21:07:50,3235.3
"472",2010-01-12 21:07:51,3109.9
"473",2010-01-12 21:07:52,-1844.95
"474",2010-01-12 21:07:53,-2994.75
"475",2010-01-12 21:07:54,1176.675
"476",2010-01-12 21:07:55,1406.175
"477",2010-01-12 21:07:56,1932.275
"478",2010-01-12 21:07:57,-1827.7
"479",2010-01-12 21:07:58,-2171.5
"480",2010-01-12 21:07:59,4375.5
"481",2010-01-12 21:08:00,423.775
"482",2010-01-12 21:08:01,-875.4
"483",2010-01-12 21:08:02,779.2
"484",2010-01-12 21:08:03,51.725
"485",2010-01-12 21:08:04,1000.75
"486",2010-01-12 21:08:05,3063.125
"487",2010-01-12 21:08:06,-3303.475
"488",2010-01-12 21:08:07,-1075.3
"489",2010-01-12 21:08:08,1880.9
"490",2010-01-12 21:08:09,-1013.075
"491",2010-01-12 21:08:10,1194.65
"492",2010-01-12 21:08:11,4607.8
"493",2010-01-12 21:08:12,-914.55
"494",2010-01-12 21:08:13,-3787.7
"495",2010-01-12 21:08:14,-1402.375
"496",2010-01-12 21:08:15,6678.25
"497",2010-01-12 21:08:16,974.175
"498",2010-01-12 21:08:17,-3924.15
"499",2010-01-12 21:08:18,-1186
"500",2010-01-12 21:08:19,582.7
"501",2010-01-12 21:08:20,3308.375
"502",2010-01-12 21:08:21,2224.3
"503",2010-01-12 21:08:22,-2617.6
"504",2010-01-12 21:08:23,860.925
"505",2010-01-12 21:08:24,1481.75
"506",2010-01-12 21:08:25,-383.075
"507",2010-01-12 21:08:26,454.675
"508",2010-01-12 21:08:27,1043.025
"509",2010-01-12 21:08:28,-411.85
"510",2010-01-12 21:08:29,-426.325
"511",2010-01-12 21:08:30,-2508.475
"512",2010-01-12 21:08:31,2882.95
"513",2010-01-12 21:08:32,4435.325
"514",2010-01-12 21:08:33,-1378.8
"515",2010-01-12 21:08:34,720.9
"516",2010-01-12 21:08:35,-2703.25
"517",2010-01-12 21:08:36,138.25
"518",2010-01-12 21:08:37,3817.125
"519",2010-01-12 21:08:38,-626.65
"520",2010-01-12 21:08:39,-104
"521",2010-01-12 21:08:40,-2615.1
"522",2010-01-12 21:08:41,3381.825
"523",2010-01-12 21:08:42,-644.325
"524",2010-01-12 21:08:43,630.225
"525",2010-01-12 21:08:44,687.475
"526",2010-01-12 21:08:45,-272.975
"527",2010-01-12 21:08:46,309.825
"528",2010-01-12 21:08:47,938.65
"529",2010-01-12 21:08:48,879.35
"530",2010-01-12 21:08:49,-609.625
"531",2010-01-12 21:08:50,-2199.175
"532",2010-01-12 21:08:51,501.6
"533",2010-01-12 21:08:52,3933.15
"534",2010-01-12 21:08:53,-2608.7
"535",2010-01-12 21:08:54,714.725
"536",2010-01-12 21:08:55,1387.125
"537",2010-01-12 21:08:56,-3808.85
"538",2010-01-12 21:08:57,4702.25
"539",2010-01-12 21:08:58,-890.625
"540",2010-01-12 21:08:59,1424.325
"541",2010-01-12 21:09:00,-1326.05
"542",2010-01-12 21:09:01,-1892.85
"543",2010-01-12 21:09:02,-939.15
"544",2010-01-12 21:09:03,5551.6
"545",2010-01-12 21:09:04,-735.9
"546",2010-01-12 21:09:05,-4089.475
"547",2010-01-12 21:09:06,2212.2
"548",2010-01-12 21:09:07,540.825
"549",2010-01-12 21:09:08,379.3
"550",2010-01-12 21:09:09,1688.15
"551",2010-01-12 21:09:10,791.55
"552",2010-01-12 21:09:11,-2939.3
"553",2010-01-12 21:09:12,-85.75
"554",2010-01-12 21:09:13,719.55
"555",2010-01-12 21:09:14,267.875
"556",2010-01-12 21:09:15,2400.95
"557",2010-01-12 21:09:16,-14.7
"558",2010-01-12 21:09:17,-1234
"559",2010-01-12 21:09:18,-1721.725
